symptom_text,specialty,urgency,cleaned_text
"Підкажіть, що робити, якщо впав, підозра на тріщину в ребрі, боляче дихати",traumatologist,medium,підкажіть що робити якщо впав підозра на тріщину в ребрі боляче дихати
"Допоможіть, профілактичний огляд чоловічого здоров'я",urologist,low,допоможіть профілактичний огляд чоловічого здоров я
У мене скаче пульс після кави або чаю,cardiologist,low,у мене скаче пульс після кави або чаю
"У мого родича червона висипка на тілі, яка сильно чешеться",dermatologist,medium,у мого родича червона висипка на тілі яка сильно чешеться
"Вже кілька днів у донечки висип по всьому тілу, схоже на вітрянку",pediatrician,medium,вже кілька днів у донечки висип по всьому тілу схоже на вітрянку
"У мене запалився лімфовузол під пахвою, боляче торкатися",surgeon,medium,у мене запалився лімфовузол під пахвою боляче торкатися
"У мого родича відняло ліву ногу, сильне оніміння половини тіла",neurologist,high,у мого родича відняло ліву ногу сильне оніміння половини тіла
"Скажіть, будь ласка, чому око сильно сльозиться і пече, лопнули капіляри",ophthalmologist,medium,скажіть будь ласка чому око сильно сльозиться і пече лопнули капіляри
"Скажіть, будь ласка, чому часті перепади настрою, збільшилася щитовидна залоза",endocrinologist,medium,скажіть будь ласка чому часті перепади настрою збільшилася щитовидна залоза
"У мого родича впав, підозра на тріщину в ребрі, боляче дихати",traumatologist,medium,у мого родича впав підозра на тріщину в ребрі боляче дихати
"Відчуваю, що невелика гуля на спині, жировик під шкірою",surgeon,low,відчуваю що невелика гуля на спині жировик під шкірою
"Раптово почалося: стороннє тіло у дихальних шляхах, дитина задихається",otolaryngologist,high,раптово почалося стороннє тіло у дихальних шляхах дитина задихається
"Вже кілька днів нестерпний біль у шлунку, сильне отруєння та діарея",gastroenterologist,high,вже кілька днів нестерпний біль у шлунку сильне отруєння та діарея
"У мене відняло ліву ногу, сильне оніміння половини тіла",neurologist,high,у мене відняло ліву ногу сильне оніміння половини тіла
"Раптово почалося: кривава блювота або чорний стілець, гострий спазм",gastroenterologist,high,раптово почалося кривава блювота або чорний стілець гострий спазм
"Скажіть, будь ласка, чому профілактичний огляд чоловічого здоров'я",urologist,low,скажіть будь ласка чому профілактичний огляд чоловічого здоров я
"У мене сильно набряк палець, пульсує і виділяється гній",surgeon,medium,у мене сильно набряк палець пульсує і виділяється гній
"Раптово почалося: дитина задихається від гавкаючого кашлю, синіють губи",pediatrician,high,раптово почалося дитина задихається від гавкаючого кашлю синіють губи
"У мого родича кривава блювота або чорний стілець, гострий спазм",gastroenterologist,high,у мого родича кривава блювота або чорний стілець гострий спазм
"Вже кілька днів різко набрав вагу, хоча дієта не змінювалася",endocrinologist,low,вже кілька днів різко набрав вагу хоча дієта не змінювалася
"У дитини кашель, соплі, але температури немає",pediatrician,medium,у дитини кашель соплі але температури немає
"Вже кілька днів гострий ріжучий біль в правому боці живота, нудота",surgeon,high,вже кілька днів гострий ріжучий біль в правому боці живота нудота
"У мене нестерпний біль у шлунку, сильне отруєння та діарея",gastroenterologist,high,у мене нестерпний біль у шлунку сильне отруєння та діарея
"Підкажіть, що робити, якщо ниючий біль у попереку, важко нахилятися",neurologist,medium,підкажіть що робити якщо ниючий біль у попереку важко нахилятися
Раптово почалося: швидко втомлюються очі під час роботи за монітором,ophthalmologist,low,раптово почалося швидко втомлюються очі під час роботи за монітором
Вже кілька днів водянисті пухирі на ногах після алергії,dermatologist,medium,вже кілька днів водянисті пухирі на ногах після алергії
"У мого родича сухий кашель, важко вдихнути повітря, хрипи в легенях",therapist,high,у мого родича сухий кашель важко вдихнути повітря хрипи в легенях
"Підкажіть, що робити, якщо пече в грудях, гострий біль за грудиною",cardiologist,high,підкажіть що робити якщо пече в грудях гострий біль за грудиною
"Скажіть, будь ласка, чому страшна мігрень, таблетки не допомагають",neurologist,medium,скажіть будь ласка чому страшна мігрень таблетки не допомагають
"Відчуваю, що у дитини кашель, соплі, але температури немає",pediatrician,medium,відчуваю що у дитини кашель соплі але температури немає
"Вже кілька днів у сина болить вушко, плаче і тримається за голову",pediatrician,medium,вже кілька днів у сина болить вушко плаче і тримається за голову
У мого родича дитині потрібен плановий огляд та довідка в садочок,pediatrician,low,у мого родича дитині потрібен плановий огляд та довідка в садочок
"Підкажіть, що робити, якщо дитині потрібен плановий огляд та довідка в садочок",pediatrician,low,підкажіть що робити якщо дитині потрібен плановий огляд та довідка в садочок
"Сильно турбує те, що задишка при мінімальних фізичних навантаженнях",cardiologist,medium,сильно турбує те що задишка при мінімальних фізичних навантаженнях
"Відчуваю, що відкритий перелом, рука крива, сильний біль і шок",traumatologist,high,відчуваю що відкритий перелом рука крива сильний біль і шок
"Сильно турбує те, що впав, підозра на тріщину в ребрі, боляче дихати",traumatologist,medium,сильно турбує те що впав підозра на тріщину в ребрі боляче дихати
"Скажіть, будь ласка, чому важкість у шлунку та постійне здуття живота",gastroenterologist,low,скажіть будь ласка чому важкість у шлунку та постійне здуття живота
Раптово почалося: періодичні закрепи або проблеми з травленням,gastroenterologist,low,раптово почалося періодичні закрепи або проблеми з травленням
"Вже кілька днів око сильно сльозиться і пече, лопнули капіляри",ophthalmologist,medium,вже кілька днів око сильно сльозиться і пече лопнули капіляри
"Допоможіть, стара травма коліна ниє на зміну погоди",traumatologist,low,допоможіть стара травма коліна ниє на зміну погоди
"Ниючий біль у попереку, важко нахилятися",neurologist,medium,ниючий біль у попереку важко нахилятися
"У мого родича гостра затримка сечі, нестерпний біль, ниркова коліка",urologist,high,у мого родича гостра затримка сечі нестерпний біль ниркова коліка
"Вже кілька днів гостра затримка сечі, нестерпний біль, ниркова коліка",urologist,high,вже кілька днів гостра затримка сечі нестерпний біль ниркова коліка
"Раптово почалося: відняло ліву ногу, сильне оніміння половини тіла",neurologist,high,раптово почалося відняло ліву ногу сильне оніміння половини тіла
Вже кілька днів сухість рук та тріщини на пальцях,dermatologist,low,вже кілька днів сухість рук та тріщини на пальцях
Періодичні закрепи або проблеми з травленням,gastroenterologist,low,періодичні закрепи або проблеми з травленням
"У донечки висип по всьому тілу, схоже на вітрянку",pediatrician,medium,у донечки висип по всьому тілу схоже на вітрянку
"Сильно турбує те, що підозра на пупкову грижу, випинання болить",surgeon,medium,сильно турбує те що підозра на пупкову грижу випинання болить
"Відчуваю, що часті перепади настрою, збільшилася щитовидна залоза",endocrinologist,medium,відчуваю що часті перепади настрою збільшилася щитовидна залоза
Незначні перепади тиску вечорами,cardiologist,low,незначні перепади тиску вечорами
"Часті походи в туалет, але без болю",urologist,low,часті походи в туалет але без болю
У мене з'явилася лупа та свербіж голови,dermatologist,low,у мене з явилася лупа та свербіж голови
"Відчуваю, що стріляє у вусі, заклало ніс, болять пазухи",otolaryngologist,medium,відчуваю що стріляє у вусі заклало ніс болять пазухи
"У мого родича сильне серцебиття, тремтять руки, постійно жарко",endocrinologist,medium,у мого родича сильне серцебиття тремтять руки постійно жарко
"У мого родича температура піднялася до 40, сильно знобить",therapist,high,у мого родича температура піднялася до 40 сильно знобить
"У мене ниючий біль у попереку, важко нахилятися",neurologist,medium,у мене ниючий біль у попереку важко нахилятися
У мене задишка при мінімальних фізичних навантаженнях,cardiologist,medium,у мене задишка при мінімальних фізичних навантаженнях
"Стріляє в спині, защемило нерв, не можу розігнутися",neurologist,high,стріляє в спині защемило нерв не можу розігнутися
"Допоможіть, сильно набряк палець, пульсує і виділяється гній",surgeon,medium,допоможіть сильно набряк палець пульсує і виділяється гній
"Раптово почалося: пече в грудях, гострий біль за грудиною",cardiologist,high,раптово почалося пече в грудях гострий біль за грудиною
"Скажіть, будь ласка, чому задишка при мінімальних фізичних навантаженнях",cardiologist,medium,скажіть будь ласка чому задишка при мінімальних фізичних навантаженнях
Раптово почалося: дуже лущиться шкіра на обличчі,dermatologist,low,раптово почалося дуже лущиться шкіра на обличчі
"Підкажіть, що робити, якщо постійна втома, немає сил зранку",therapist,low,підкажіть що робити якщо постійна втома немає сил зранку
"Постійна спрага, п'ю дуже багато води, сухо в роті",endocrinologist,medium,постійна спрага п ю дуже багато води сухо в роті
"Сильно турбує те, що червона висипка на тілі, яка сильно чешеться",dermatologist,medium,сильно турбує те що червона висипка на тілі яка сильно чешеться
"У мене малюк погано спить, капризує під час годування",pediatrician,low,у мене малюк погано спить капризує під час годування
"У мене впав, підозра на тріщину в ребрі, боляче дихати",traumatologist,medium,у мене впав підозра на тріщину в ребрі боляче дихати
У мого родича дуже лущиться шкіра на обличчі,dermatologist,low,у мого родича дуже лущиться шкіра на обличчі
"Вже кілька днів малюк погано спить, капризує під час годування",pediatrician,low,вже кілька днів малюк погано спить капризує під час годування
"Пече в грудях, гострий біль за грудиною",cardiologist,high,пече в грудях гострий біль за грудиною
"Сильно турбує те, що сухість рук та тріщини на пальцях",dermatologist,low,сильно турбує те що сухість рук та тріщини на пальцях
"Відчуваю, що температура 37.2 і загальна слабкість",therapist,low,відчуваю що температура 37 2 і загальна слабкість
"Скажіть, будь ласка, чому впав, підозра на тріщину в ребрі, боляче дихати",traumatologist,medium,скажіть будь ласка чому впав підозра на тріщину в ребрі боляче дихати
"Підкажіть, що робити, якщо стріляє у вусі, заклало ніс, болять пазухи",otolaryngologist,medium,підкажіть що робити якщо стріляє у вусі заклало ніс болять пазухи
"Сильно турбує те, що сухий кашель, важко вдихнути повітря, хрипи в легенях",therapist,high,сильно турбує те що сухий кашель важко вдихнути повітря хрипи в легенях
"Сильно турбує те, що сухість в очах, відчуття піску під повіками",ophthalmologist,low,сильно турбує те що сухість в очах відчуття піску під повіками
"Сильно набряк палець, пульсує і виділяється гній",surgeon,medium,сильно набряк палець пульсує і виділяється гній
"Сильно турбує те, що періодичні закрепи або проблеми з травленням",gastroenterologist,low,сильно турбує те що періодичні закрепи або проблеми з травленням
"Скажіть, будь ласка, чому пече в грудях, гострий біль за грудиною",cardiologist,high,скажіть будь ласка чому пече в грудях гострий біль за грудиною
"Раптово почалося: фурункул запалився, набряк, гарячий на дотик",dermatologist,high,раптово почалося фурункул запалився набряк гарячий на дотик
"Раптова гостра алергічна реакція, все тіло вкрилося плямами",dermatologist,high,раптова гостра алергічна реакція все тіло вкрилося плямами
"Відчуваю, що гостра затримка сечі, нестерпний біль, ниркова коліка",urologist,high,відчуваю що гостра затримка сечі нестерпний біль ниркова коліка
У мене періодично закладає одне вухо після басейну,otolaryngologist,low,у мене періодично закладає одне вухо після басейну
Вже кілька днів задишка при мінімальних фізичних навантаженнях,cardiologist,medium,вже кілька днів задишка при мінімальних фізичних навантаженнях
"Скажіть, будь ласка, чому періодичні закрепи або проблеми з травленням",gastroenterologist,low,скажіть будь ласка чому періодичні закрепи або проблеми з травленням
"Відчуваю, що нагноєння старої подряпини, легкий набряк",surgeon,low,відчуваю що нагноєння старої подряпини легкий набряк
"Скажіть, будь ласка, чому з'явилася лупа та свербіж голови",dermatologist,low,скажіть будь ласка чому з явилася лупа та свербіж голови
"У мене ломить суглоби, застудився під кондиціонером",therapist,medium,у мене ломить суглоби застудився під кондиціонером
"Допоможіть, сильна носова кровотеча, яка йде вже півгодини",otolaryngologist,high,допоможіть сильна носова кровотеча яка йде вже півгодини
"Підкажіть, що робити, якщо скаче пульс після кави або чаю",cardiologist,low,підкажіть що робити якщо скаче пульс після кави або чаю
"Допоможіть, періодичний ниючий біль у ділянці попереку",urologist,low,допоможіть періодичний ниючий біль у ділянці попереку
"Відчуваю, що сильно болить горло, важко ковтати їжу",therapist,medium,відчуваю що сильно болить горло важко ковтати їжу
"У мого родича різко набрав вагу, хоча дієта не змінювалася",endocrinologist,low,у мого родича різко набрав вагу хоча дієта не змінювалася
"Скажіть, будь ласка, чому сильне серцебиття, тремтять руки, постійно жарко",endocrinologist,medium,скажіть будь ласка чому сильне серцебиття тремтять руки постійно жарко
"У мене коліки в животі, метеоризм, ріже навколо пупка",gastroenterologist,medium,у мене коліки в животі метеоризм ріже навколо пупка
"Раптово почалося: постійна втома, немає сил зранку",therapist,low,раптово почалося постійна втома немає сил зранку
"Допоможіть, запалився лімфовузол під пахвою, боляче торкатися",surgeon,medium,допоможіть запалився лімфовузол під пахвою боляче торкатися
"Скажіть, будь ласка, чому дитина задихається від гавкаючого кашлю, синіють губи",pediatrician,high,скажіть будь ласка чому дитина задихається від гавкаючого кашлю синіють губи
"Скажіть, будь ласка, чому глибокий поріз склом, сильна кровотеча не зупиняється",traumatologist,high,скажіть будь ласка чому глибокий поріз склом сильна кровотеча не зупиняється
"Підкажіть, що робити, якщо врослий ніготь на великому пальці ноги",surgeon,low,підкажіть що робити якщо врослий ніготь на великому пальці ноги
"У мене сильно болить горло, важко ковтати їжу",therapist,medium,у мене сильно болить горло важко ковтати їжу
"У сина болить вушко, плаче і тримається за голову",pediatrician,medium,у сина болить вушко плаче і тримається за голову
Вже кілька днів періодичний ниючий біль у ділянці попереку,urologist,low,вже кілька днів періодичний ниючий біль у ділянці попереку
"Допоможіть, сильний удар ліктя, рука опухла і посиніла",traumatologist,medium,допоможіть сильний удар ліктя рука опухла і посиніла
Раптово почалося: легке запаморочення при різкому підйомі,neurologist,low,раптово почалося легке запаморочення при різкому підйомі
"У мене запалення сечового міхура, цистит, дискомфорт",urologist,medium,у мене запалення сечового міхура цистит дискомфорт
У мене пропав нюх через хронічний нежить,otolaryngologist,low,у мене пропав нюх через хронічний нежить
"Сильно турбує те, що коліки в животі, метеоризм, ріже навколо пупка",gastroenterologist,medium,сильно турбує те що коліки в животі метеоризм ріже навколо пупка
"Допоможіть, швидко втомлююся, постійна сонливість без причини",endocrinologist,low,допоможіть швидко втомлююся постійна сонливість без причини
"Підкажіть, що робити, якщо першіння в горлі та легкий нежить",therapist,low,підкажіть що робити якщо першіння в горлі та легкий нежить
Швидко втомлюються очі під час роботи за монітором,ophthalmologist,low,швидко втомлюються очі під час роботи за монітором
"Відчуваю, що коліки в животі, метеоризм, ріже навколо пупка",gastroenterologist,medium,відчуваю що коліки в животі метеоризм ріже навколо пупка
"Раптово почалося: впав, підозра на тріщину в ребрі, боляче дихати",traumatologist,medium,раптово почалося впав підозра на тріщину в ребрі боляче дихати
"Сильно турбує те, що іноді покалює зліва в грудях під час ходьби",cardiologist,low,сильно турбує те що іноді покалює зліва в грудях під час ходьби
"У мене температура піднялася до 40, сильно знобить",therapist,high,у мене температура піднялася до 40 сильно знобить
"Вже кілька днів страшна мігрень, таблетки не допомагають",neurologist,medium,вже кілька днів страшна мігрень таблетки не допомагають
"Скажіть, будь ласка, чому постійний шум у вухах і темніє в очах",neurologist,medium,скажіть будь ласка чому постійний шум у вухах і темніє в очах
"Підозра на пупкову грижу, випинання болить",surgeon,medium,підозра на пупкову грижу випинання болить
"Раптово почалося: сильно набряк палець, пульсує і виділяється гній",surgeon,medium,раптово почалося сильно набряк палець пульсує і виділяється гній
"Вже кілька днів сухість в очах, відчуття піску під повіками",ophthalmologist,low,вже кілька днів сухість в очах відчуття піску під повіками
"У мене болить шлунок натщесерце, ниючий біль під ребрами",gastroenterologist,medium,у мене болить шлунок натщесерце ниючий біль під ребрами
Вже кілька днів першіння в горлі та легкий нежить,therapist,low,вже кілька днів першіння в горлі та легкий нежить
Вже кілька днів з'явилася лупа та свербіж голови,dermatologist,low,вже кілька днів з явилася лупа та свербіж голови
"Підкажіть, що робити, якщо підозра на пупкову грижу, випинання болить",surgeon,medium,підкажіть що робити якщо підозра на пупкову грижу випинання болить
"У мого родича втрата голосу, сильний гавкаючий кашель і біль у горлі",otolaryngologist,medium,у мого родича втрата голосу сильний гавкаючий кашель і біль у горлі
"Підвернув ногу, є невеликий набряк, але ходити можу",traumatologist,medium,підвернув ногу є невеликий набряк але ходити можу
"Сильно турбує те, що раптова гостра алергічна реакція, все тіло вкрилося плямами",dermatologist,high,сильно турбує те що раптова гостра алергічна реакція все тіло вкрилося плямами
"Кривава блювота або чорний стілець, гострий спазм",gastroenterologist,high,кривава блювота або чорний стілець гострий спазм
"Допоможіть, різко набрав вагу, хоча дієта не змінювалася",endocrinologist,low,допоможіть різко набрав вагу хоча дієта не змінювалася
"Раптово почалося: у дитини кашель, соплі, але температури немає",pediatrician,medium,раптово почалося у дитини кашель соплі але температури немає
"Відчуваю, що у донечки висип по всьому тілу, схоже на вітрянку",pediatrician,medium,відчуваю що у донечки висип по всьому тілу схоже на вітрянку
"Око сильно сльозиться і пече, лопнули капіляри",ophthalmologist,medium,око сильно сльозиться і пече лопнули капіляри
У мене профілактичний огляд чоловічого здоров'я,urologist,low,у мене профілактичний огляд чоловічого здоров я
"Відчуваю, що сухість рук та тріщини на пальцях",dermatologist,low,відчуваю що сухість рук та тріщини на пальцях
"Підкажіть, що робити, якщо глибокий поріз склом, сильна кровотеча не зупиняється",traumatologist,high,підкажіть що робити якщо глибокий поріз склом сильна кровотеча не зупиняється
У мене важкість у шлунку та постійне здуття живота,gastroenterologist,low,у мене важкість у шлунку та постійне здуття живота
"У мого родича у сина болить вушко, плаче і тримається за голову",pediatrician,medium,у мого родича у сина болить вушко плаче і тримається за голову
"Сильно турбує те, що дуже лущиться шкіра на обличчі",dermatologist,low,сильно турбує те що дуже лущиться шкіра на обличчі
"Підкажіть, що робити, якщо періодично німіють мізинці на руках",neurologist,low,підкажіть що робити якщо періодично німіють мізинці на руках
"Підкажіть, що робити, якщо сильний удар ліктя, рука опухла і посиніла",traumatologist,medium,підкажіть що робити якщо сильний удар ліктя рука опухла і посиніла
"Сильне серцебиття, тремтять руки, постійно жарко",endocrinologist,medium,сильне серцебиття тремтять руки постійно жарко
"Скажіть, будь ласка, чому запалився лімфовузол під пахвою, боляче торкатися",surgeon,medium,скажіть будь ласка чому запалився лімфовузол під пахвою боляче торкатися
"Раптово почалося: сухий кашель, важко вдихнути повітря, хрипи в легенях",therapist,high,раптово почалося сухий кашель важко вдихнути повітря хрипи в легенях
"Сильно турбує те, що високий тиск 150 на 90, крутиться голова",cardiologist,medium,сильно турбує те що високий тиск 150 на 90 крутиться голова
"Допоможіть, коліки в животі, метеоризм, ріже навколо пупка",gastroenterologist,medium,допоможіть коліки в животі метеоризм ріже навколо пупка
"Підкажіть, що робити, якщо нудота після їжі, кисла відрижка вже кілька днів",gastroenterologist,medium,підкажіть що робити якщо нудота після їжі кисла відрижка вже кілька днів
"Підозра на апендицит, блювота, живіт як дошка твердий",surgeon,high,підозра на апендицит блювота живіт як дошка твердий
Раптово почалося: скаче пульс після кави або чаю,cardiologist,low,раптово почалося скаче пульс після кави або чаю
"Раптово почалося: високий тиск 150 на 90, крутиться голова",cardiologist,medium,раптово почалося високий тиск 150 на 90 крутиться голова
"Відчуваю, що ангіна, білий наліт на мигдаликах, важко ковтати",otolaryngologist,medium,відчуваю що ангіна білий наліт на мигдаликах важко ковтати
Вже кілька днів незначні перепади тиску вечорами,cardiologist,low,вже кілька днів незначні перепади тиску вечорами
"Вже кілька днів коліки в животі, метеоризм, ріже навколо пупка",gastroenterologist,medium,вже кілька днів коліки в животі метеоризм ріже навколо пупка
У мого родича іноді покалює зліва в грудях під час ходьби,cardiologist,low,у мого родича іноді покалює зліва в грудях під час ходьби
"Відчуваю, що врослий ніготь на великому пальці ноги",surgeon,low,відчуваю що врослий ніготь на великому пальці ноги
"Підкажіть, що робити, якщо гостра затримка сечі, нестерпний біль, ниркова коліка",urologist,high,підкажіть що робити якщо гостра затримка сечі нестерпний біль ниркова коліка
"Сильно турбує те, що періодичний ниючий біль у ділянці попереку",urologist,low,сильно турбує те що періодичний ниючий біль у ділянці попереку
Раптово почалося: профілактичний огляд чоловічого здоров'я,urologist,low,раптово почалося профілактичний огляд чоловічого здоров я
Періодичний ниючий біль у ділянці попереку,urologist,low,періодичний ниючий біль у ділянці попереку
У мене болить плече або м'язи після тренування в залі,traumatologist,low,у мене болить плече або м язи після тренування в залі
"Різі при сечовипусканні, тягне внизу живота",urologist,medium,різі при сечовипусканні тягне внизу живота
Раптово почалося: незначні перепади тиску вечорами,cardiologist,low,раптово почалося незначні перепади тиску вечорами
У мене першіння в горлі та легкий нежить,therapist,low,у мене першіння в горлі та легкий нежить
"Відчуваю, що підозра на апендицит, блювота, живіт як дошка твердий",surgeon,high,відчуваю що підозра на апендицит блювота живіт як дошка твердий
"Підкажіть, що робити, якщо дитина задихається від гавкаючого кашлю, синіють губи",pediatrician,high,підкажіть що робити якщо дитина задихається від гавкаючого кашлю синіють губи
"Сильно турбує те, що ломить суглоби, застудився під кондиціонером",therapist,medium,сильно турбує те що ломить суглоби застудився під кондиціонером
"Вже кілька днів ломить суглоби, застудився під кондиціонером",therapist,medium,вже кілька днів ломить суглоби застудився під кондиціонером
"У мого родича невелика гуля на спині, жировик під шкірою",surgeon,low,у мого родича невелика гуля на спині жировик під шкірою
"Допоможіть, дуже лущиться шкіра на обличчі",dermatologist,low,допоможіть дуже лущиться шкіра на обличчі
"У мене постійна спрага, п'ю дуже багато води, сухо в роті",endocrinologist,medium,у мене постійна спрага п ю дуже багато води сухо в роті
"Відчуваю, що очі почервоніли, закисають зранку, виділяється гній",ophthalmologist,medium,відчуваю що очі почервоніли закисають зранку виділяється гній
"Відчуваю, що різі при сечовипусканні, тягне внизу живота",urologist,medium,відчуваю що різі при сечовипусканні тягне внизу живота
Скаче пульс після кави або чаю,cardiologist,low,скаче пульс після кави або чаю
"Підкажіть, що робити, якщо сухість рук та тріщини на пальцях",dermatologist,low,підкажіть що робити якщо сухість рук та тріщини на пальцях
"Відчуваю, що малюк погано спить, капризує під час годування",pediatrician,low,відчуваю що малюк погано спить капризує під час годування
"У мене відкритий перелом, рука крива, сильний біль і шок",traumatologist,high,у мене відкритий перелом рука крива сильний біль і шок
"Допоможіть, постійна спрага, п'ю дуже багато води, сухо в роті",endocrinologist,medium,допоможіть постійна спрага п ю дуже багато води сухо в роті
"У мене глибокий поріз склом, сильна кровотеча не зупиняється",traumatologist,high,у мене глибокий поріз склом сильна кровотеча не зупиняється
"Допоможіть, сухість рук та тріщини на пальцях",dermatologist,low,допоможіть сухість рук та тріщини на пальцях
"Сильно турбує те, що різко набрав вагу, хоча дієта не змінювалася",endocrinologist,low,сильно турбує те що різко набрав вагу хоча дієта не змінювалася
"Відчуваю, що періодично закладає одне вухо після басейну",otolaryngologist,low,відчуваю що періодично закладає одне вухо після басейну
"Скажіть, будь ласка, чому очі почервоніли, закисають зранку, виділяється гній",ophthalmologist,medium,скажіть будь ласка чому очі почервоніли закисають зранку виділяється гній
"Сильно турбує те, що пропав нюх через хронічний нежить",otolaryngologist,low,сильно турбує те що пропав нюх через хронічний нежить
"Сильно турбує те, що гострий ріжучий біль в правому боці живота, нудота",surgeon,high,сильно турбує те що гострий ріжучий біль в правому боці живота нудота
"Допоможіть, ниючий біль у шиї після роботи за комп'ютером",neurologist,low,допоможіть ниючий біль у шиї після роботи за комп ютером
"Скажіть, будь ласка, чому нестерпний біль у шлунку, сильне отруєння та діарея",gastroenterologist,high,скажіть будь ласка чому нестерпний біль у шлунку сильне отруєння та діарея
"Скажіть, будь ласка, чому врослий ніготь на великому пальці ноги",surgeon,low,скажіть будь ласка чому врослий ніготь на великому пальці ноги
У мого родича стара травма коліна ниє на зміну погоди,traumatologist,low,у мого родича стара травма коліна ниє на зміну погоди
"Скажіть, будь ласка, чому першіння в горлі та легкий нежить",therapist,low,скажіть будь ласка чому першіння в горлі та легкий нежить
"Сильно турбує те, що температура 37.2 і загальна слабкість",therapist,low,сильно турбує те що температура 37 2 і загальна слабкість
"Раптово почалося: у сина болить вушко, плаче і тримається за голову",pediatrician,medium,раптово почалося у сина болить вушко плаче і тримається за голову
"Відчуваю, що ниючий біль у шиї після роботи за комп'ютером",neurologist,low,відчуваю що ниючий біль у шиї після роботи за комп ютером
